"date","Year","week","eBird.DP.RF"
2017-02-20,2017,8,0.68470737475493
2017-02-27,2017,9,0.669392912980768
2017-03-06,2017,10,0.651470995933069
2017-03-13,2017,11,0.566920592082919
2017-03-20,2017,12,0.560763317648253
2017-03-27,2017,13,0.551749011413174
2017-04-03,2017,14,0.537907728346726
2017-04-10,2017,15,0.519581542646519
2017-04-17,2017,16,0.510441116001356
2017-04-24,2017,17,0.490339019345857
2017-05-01,2017,18,0.472061590711083
2017-05-08,2017,19,0.446171974881938
2017-05-15,2017,20,0.428834390258676
2017-05-22,2017,21,0.42123034092118
2017-05-29,2017,22,0.420656367788413
2017-06-05,2017,23,0.423606643422467
2017-06-12,2017,24,0.430343520873927
2017-06-19,2017,25,0.438922502491389
2017-06-26,2017,26,0.453291272921069
2017-07-03,2017,27,0.464506640444051
2017-07-10,2017,28,0.470111168738532
2017-07-17,2017,29,0.473713663971964
2017-07-24,2017,30,0.478048786151114
2017-07-31,2017,31,0.483437633914736
2017-08-07,2017,32,0.490014332344162
2017-08-14,2017,33,0.488941797633932
2017-08-21,2017,34,0.489771004449455
2017-08-28,2017,35,0.496507321607897
2017-09-04,2017,36,0.502875697565048
2017-09-11,2017,37,0.514607782231948
2017-09-18,2017,38,0.527938431326061
2017-09-25,2017,39,0.549835187166804
2017-10-02,2017,40,0.557924972608344
2017-10-09,2017,41,0.566953809761359
2017-10-16,2017,42,0.571532981324197
2017-10-23,2017,43,0.578041032624289
2017-10-30,2017,44,0.587438866819245
2017-11-06,2017,45,0.599727723045504
2017-11-13,2017,46,0.619989334216522
2017-11-20,2017,47,0.628320369715691
2017-11-27,2017,48,0.630308947528394
2017-12-04,2017,49,0.632097159251636
2017-12-11,2017,50,0.635966070681131
2017-12-18,2017,51,0.636111329540898
2017-12-25,2017,52,0.63572230875023
2018-01-01,2018,1,0.661826836024126
2018-01-08,2018,2,0.666372213987906
2018-01-15,2018,3,0.669732115483336
2018-01-22,2018,4,0.674160468617585
2018-01-29,2018,5,0.675661152258014
2018-02-05,2018,6,0.67632726730997
